Info_protein_id,folder,Info_organism_id
1057500953,Folder03,9606
1060099124,Folder03,9606
1060099377,Folder03,9606
106049292,Folder03,9606
1060909,Folder03,9606
1061214220,Folder03,9606
1062593974,Folder03,9606
1062594114,Folder03,9606
1063825016,Folder03,9606
1064244183,Folder03,9606
10643592,Folder03,9606
1064788235,Folder03,9606
1066537927,Folder03,9606
1066546270,Folder03,9606
106731,Folder03,9606
1067605019,Folder03,9606
106879204,Folder03,9606
106879210,Folder03,9606
1069415326,Folder03,9606
10719650,Folder03,9606
10719883,Folder03,9606
1073522662,Folder03,9606
10799166,Folder03,9606
10801199,Folder03,9606
10801586,Folder03,9606
10835047,Folder03,9606
10835069,Folder03,9606
10835073,Folder03,9606
10835109,Folder03,9606
10835256,Folder03,9606
1083917512,Folder03,9606
10862703,Folder03,9606
10863889,Folder03,9606
10863899,Folder03,9606
10863935,Folder03,9606
10864047,Folder03,9606
108796056,Folder03,9606
10880136,Folder03,9606
10880453,Folder03,9606
1089747674,Folder03,10298
1089747699,Folder03,10298
1091269840,Folder03,10298
1092018475,Folder03,9606
109240546,Folder03,9606
109240550,Folder03,9606
1093492,Folder03,9606
10944290,Folder03,9606
10944884,Folder03,9606
10944927,Folder03,9606
10944955,Folder03,9606
109658596,Folder03,9606
109658616,Folder03,9606
109715831,Folder03,9606
109731754,Folder03,9606
1099511040,Folder03,9606
1100110,Folder03,9606
1101217A,Folder03,630
1101228B,Folder03,11320
110224449,Folder03,9606
110227601,Folder03,9606
110347463,Folder03,9606
11034811,Folder03,9606
11034821,Folder03,9606
110349767,Folder03,9606
1103585,Folder03,9606
11038637,Folder03,9606
110431354,Folder03,9606
1105030046,Folder03,813
1105030247,Folder03,813
11055421,Folder03,9606
11055992,Folder03,9606
11056044,Folder03,9606
11056054,Folder03,9606
11056063,Folder03,9606
110611176,Folder03,9606
11061449,Folder03,9606
110618224,Folder03,9606
1106184A,Folder03,119602
11068135,Folder03,9606
1107687,Folder03,9606
1107696,Folder03,9606
1108183A,Folder03,287,1009714
110825980,Folder03,9606
1109236A,Folder03,9606
11095441,Folder03,9606
1109782,Folder03,9606
1109792,Folder03,9606
111118992,Folder03,9606
11125348,Folder03,9606
11125350,Folder03,9606
1112917086,Folder03,9606
11136626,Folder03,9606
11138093,Folder03,9606
11139663,Folder03,9606
11141869,Folder04,9606
11141871,Folder04,9606
11141881,Folder04,9606
11141903,Folder04,9606
1114629620,Folder04,9606
1117915,Folder04,9606
111955139,Folder04,9606
11225609,Folder04,9606
112421013,Folder04,9606
112421134,Folder04,9606
11244871,Folder04,9606
1125135216,Folder04,9606
1126305177,Folder04,9606
1126724272,Folder04,9606
112734863,Folder04,9606
11277468,Folder04,9606
112807182,Folder04,9606
1129371446,Folder04,9606
1130413432,Folder04,9606
11321591,Folder04,9606
11321597,Folder04,9606
11321601,Folder04,9606
11342664,Folder04,9606
11342666,Folder04,9606
11345492,Folder04,9606
1134928668,Folder04,9606
1134928691,Folder04,9606
1135567441,Folder04,9606
1136293,Folder04,9606
1136418,Folder04,9606
1137643813,Folder04,9606
11386147,Folder04,9606
114062,Folder04,9606
11415048,Folder04,9606
1143643546,Folder04,9606
1143708550,Folder04,9606
1145587748,Folder04,9606
1146187866,Folder04,3847
1147813,Folder04,9606
1148299659,Folder04,9606
1149123006,Folder04,9606
1149123047,Folder04,9606
1149513,Folder04,9606
11497043,Folder04,9606
115206,Folder04,9606
11526793,Folder04,9606
11527781,Folder04,9606
115298668,Folder04,9606
115430235,Folder04,9606
11545757,Folder04,9606
11545761,Folder04,9606
11545787,Folder04,9606
11545839,Folder04,9606
11545920,Folder04,9606
1154884864,Folder04,9606
115496169,Folder04,9606
115527469,Folder04,9606
115528722,Folder04,9606
115529039,Folder04,9606
11559925,Folder04,9606
115648022,Folder04,9606
1158980019,Folder04,9606
115940704,Folder04,9606
1159610515,Folder04,9606
1159610611,Folder04,9606
1159610635,Folder04,9606
1159611371,Folder04,9606
116008152,Folder04,9606
116014334,Folder04,9606
116014339,Folder04,9606
1160927,Folder04,9606
116174738,Folder04,9606
116256344,Folder04,9606
116256354,Folder04,9606
116256485,Folder04,9606
116283505,Folder04,9606
116283809,Folder04,9606
116283831,Folder04,9606
1162922,Folder04,9606
11641289,Folder04,9606
116496755,Folder04,9606
116517317,Folder04,9606
1166212133,Folder04,9606
116642895,Folder04,9606
116734685,Folder04,9606
116734710,Folder04,9606
116734717,Folder04,9606
1167803441,Folder04,9606
1168023819,Folder04,9606
116812593,Folder04,9606
116875767,Folder04,9606
1169100811,Folder04,9606
1169292915,Folder04,9606
11693132,Folder04,9606
1171341682,Folder04,9606
1172384978,Folder04,9606
117320543,Folder04,9606
1174098847,Folder04,9606
1174205,Folder04,9606
117553615,Folder04,9606
117558792,Folder04,9606
1177438,Folder04,9606
117938297,Folder04,9606
117956409,Folder04,9606
117968621,Folder04,9606
1179910155,Folder04,9606
118026942,Folder04,9606
118142820,Folder04,9606
118197279,Folder04,9606
1182924770,Folder04,9606
118344456,Folder04,9606
118402584,Folder04,9606
118572606,Folder04,9606
118572690,Folder04,9606
1187443502,Folder04,9606
1187443700,Folder04,9606
118763704,Folder04,9606
1189398250,Folder04,9606
1189438340,Folder04,9606
1189690235,Folder04,9606
1191017756,Folder04,9606
1191704909,Folder04,9606
119220564,Folder04,9606
11935049,Folder04,9606
119395716,Folder04,9606
119567820,Folder04,9606
119568077,Folder04,9606
119568131,Folder04,9606
119568814,Folder04,9606
119569421,Folder04,9606
119569682,Folder04,9606
119569943,Folder04,9606
119569944,Folder04,9606
119570025,Folder04,9606
119570083,Folder04,9606
119570290,Folder04,9606
119570358,Folder04,9606
119570597,Folder04,9606
119570828,Folder04,9606
119571503,Folder04,9606
119571509,Folder04,9606
119571972,Folder04,9606
119572141,Folder04,9606
119572492,Folder04,9606
119572566,Folder04,9606
119572631,Folder04,9606
119573123,Folder04,9606
119573900,Folder04,9606
119573939,Folder04,9606
119574075,Folder04,9606
119574400,Folder04,9606
119574668,Folder04,9606
119574685,Folder04,9606
119574686,Folder04,9606
119574965,Folder04,9606
119575044,Folder04,9606
119575260,Folder04,9606
119575263,Folder04,9606
119575945,Folder04,9606
119576742,Folder04,9606
119577388,Folder04,9606
119577395,Folder04,9606
119577406,Folder04,9606
119577904,Folder04,9606
119578457,Folder04,9606
119578755,Folder04,9606
119578902,Folder04,9606
119578927,Folder04,9606
119579189,Folder04,9606
119579570,Folder04,9606
119580627,Folder04,9606
119580708,Folder04,9606
119580832,Folder04,9606
119581047,Folder04,9606
119581402,Folder04,9606
119581446,Folder04,9606
119581554,Folder04,9606
119581792,Folder04,9606
119582065,Folder04,9606
119582271,Folder04,9606
119582334,Folder04,9606
119582458,Folder04,9606
119583048,Folder04,9606
119583115,Folder04,9606
119583336,Folder04,9606
119583447,Folder04,9606
119583986,Folder04,9606
119584644,Folder04,9606
119585092,Folder04,9606
119585125,Folder04,9606
119585346,Folder04,9606
119585423,Folder04,9606
119585788,Folder04,9606
119585807,Folder04,9606
119586026,Folder04,9606
119586138,Folder04,9606
119586148,Folder04,9606
119586343,Folder04,9606
119586501,Folder04,9606
119586540,Folder04,9606
119587140,Folder04,9606
119588044,Folder04,9606
119588191,Folder04,9606
119588293,Folder04,9606
119588302,Folder04,9606
119589501,Folder04,9606
119589534,Folder04,9606
119589699,Folder04,9606
119589986,Folder04,9606
119590174,Folder04,9606
119590310,Folder04,9606
119590357,Folder04,9606
119590372,Folder04,9606
119590717,Folder04,9606
119591300,Folder04,9606
119591352,Folder04,9606
119591492,Folder04,9606
119591832,Folder04,9606
119591862,Folder04,9606
119591944,Folder04,9606
119591978,Folder04,9606
119592135,Folder04,9606
119592163,Folder04,9606
119592481,Folder04,9606
119592507,Folder04,9606
119592795,Folder04,9606
119592817,Folder04,9606
119592828,Folder04,9606
119592985,Folder04,9606
119593916,Folder04,9606
119593992,Folder04,9606
119594300,Folder04,9606
119594352,Folder04,9606
119594478,Folder04,9606
119594587,Folder04,9606
119594774,Folder04,9606
119594839,Folder04,9606
119594967,Folder04,9606
119595032,Folder04,9606
119595828,Folder04,9606
119595844,Folder04,9606
119597612,Folder04,9606
119597890,Folder04,9606
119598792,Folder04,9606
119598872,Folder04,9606
119599130,Folder04,9606
119599174,Folder04,9606
119599682,Folder04,9606
119599697,Folder04,9606
119599929,Folder04,9606
119600209,Folder05,9606
119600666,Folder05,9606
119600971,Folder05,9606
119601513,Folder05,9606
119601857,Folder05,9606
119602170,Folder05,9606
119602896,Folder05,9606
119602921,Folder05,9606
119602944,Folder05,9606
119603449,Folder05,9606
119604261,Folder05,9606
119604581,Folder05,9606
119604695,Folder05,9606
119604861,Folder05,9606
119605055,Folder05,9606
119605209,Folder05,9606
119605534,Folder05,9606
119605560,Folder05,9606
119605696,Folder05,9606
119605991,Folder05,9606
119605996,Folder05,9606
119606098,Folder05,9606
119606565,Folder05,9606
119606583,Folder05,9606
119606648,Folder05,9606
119606749,Folder05,9606
119607282,Folder05,9606
119607605,Folder05,9606
119607697,Folder05,9606
119608321,Folder05,9606
119608337,Folder05,9606
119608556,Folder05,9606
119609075,Folder05,9606
119609575,Folder05,9606
119609744,Folder05,9606
119610330,Folder05,9606
119610412,Folder05,9606
119610837,Folder05,9606
119611312,Folder05,9606
119611432,Folder05,9606
119611495,Folder05,9606
119611607,Folder05,9606
119611904,Folder05,9606
119612003,Folder05,9606
119612106,Folder05,9606
119612600,Folder05,9606
119612814,Folder05,9606
119612872,Folder05,9606
119613465,Folder05,9606
119613501,Folder05,9606
119613643,Folder05,9606
119613788,Folder05,9606
119613889,Folder05,9606
119614231,Folder05,9606
119615203,Folder05,9606
119615515,Folder05,9606
119615516,Folder05,9606
119615548,Folder05,9606
119615747,Folder05,9606
119615923,Folder05,9606
119615945,Folder05,9606
119615954,Folder05,9606
119616444,Folder05,9606
119617173,Folder05,9606
119617186,Folder05,9606
119617318,Folder05,9606
119617848,Folder05,9606
119617869,Folder05,9606
119618129,Folder05,9606
119618132,Folder05,9606
119618333,Folder05,9606
119618371,Folder05,9606
119618376,Folder05,9606
119618435,Folder05,9606
119618578,Folder05,9606
119618694,Folder05,9606
119618696,Folder05,9606
119618855,Folder05,9606
119618973,Folder05,9606
119619229,Folder05,9606
119619346,Folder05,9606
119619451,Folder05,9606
119619489,Folder05,9606
119619935,Folder05,9606
119620075,Folder05,9606
119620088,Folder05,9606
119620278,Folder05,9606
119621073,Folder05,9606
119621268,Folder05,9606
119622299,Folder05,9606
119622300,Folder05,9606
119622504,Folder05,9606
119622527,Folder05,9606
119622536,Folder05,9606
119622747,Folder05,9606
119622823,Folder05,9606
119623005,Folder05,9606
119623229,Folder05,9606
119623495,Folder05,9606
119623520,Folder05,9606
119624142,Folder05,9606
119624582,Folder05,9606
119624740,Folder05,9606
